,__typename,address,channel,displayDate,displayPrice,features,id,mainImage,url,price,postcode,streetAddress,suburb,bedrooms,bathrooms,parkingSpaces
102,Listing,"{'streetAddress': ""134A O'riordan Street"", 'postcode': '2020', 'suburb': 'Mascot', '__typename': 'ListingAddress'}",rent,Available Now,FROM $750 *2 WEEKS FREE RENT,"{'bedrooms': 3, 'bathrooms': 2, 'parkingSpaces': 1, '__typename': 'ListingFeatures'}",428784778,"{'uri': '/d5693320c879318ce12308825ab8e21aa235676f503f7b302301d5ae8b52c70a/main.jpg', 'server': 'https://i3.au.reastatic.net', '__typename': 'ListingMainImage'}",https://www.realestate.com.au/property-apartment-nsw-mascot-428784778,750,2020,134A O'riordan Street,Mascot,3,2,1
151,Listing,"{'streetAddress': '12 Galloway Street', 'postcode': '2020', 'suburb': 'Mascot', '__typename': 'ListingAddress'}",rent,Available Now, From $770 per week ,"{'bedrooms': 3, 'bathrooms': 2, 'parkingSpaces': 2, '__typename': 'ListingFeatures'}",423113670,"{'uri': '/d3aeb16072738f5cb1a5abcf381e9a78cd434aec3b3a17b6b191fed72d4ca461/main.jpg', 'server': 'https://i3.au.reastatic.net', '__typename': 'ListingMainImage'}",https://www.realestate.com.au/property-apartment-nsw-mascot-423113670,770,2020,12 Galloway Street,Mascot,3,2,2
93,Listing,"{'streetAddress': '2  Gearin Alley', 'postcode': '2020', 'suburb': 'Mascot', '__typename': 'ListingAddress'}",rent,Available Now,$780 per week,"{'bedrooms': 3, 'bathrooms': 2, 'parkingSpaces': 2, '__typename': 'ListingFeatures'}",419885402,"{'uri': '/a6761c0a0e4cb1b27ca7291bd8ee766269511ebd6758754f113bbedcdb118f32/main.jpg', 'server': 'https://i3.au.reastatic.net', '__typename': 'ListingMainImage'}",https://www.realestate.com.au/property-apartment-nsw-mascot-419885402,780,2020,2  Gearin Alley,Mascot,3,2,2
96,Listing,"{'streetAddress': '14 Defries Ave', 'postcode': '2017', 'suburb': 'Zetland', '__typename': 'ListingAddress'}",rent,Available 15 Oct 2020, $780 per week 4 weeks rent free!!!!,"{'bedrooms': 3, 'bathrooms': 2, 'parkingSpaces': 1, '__typename': 'ListingFeatures'}",415231843,"{'uri': '/b6ce24e281c84544bbacebb26242031ad0b6ff9400d8152f23a117bef20595e6/main.jpg', 'server': 'https://i3.au.reastatic.net', '__typename': 'ListingMainImage'}",https://www.realestate.com.au/property-apartment-nsw-zetland-415231843,780,2017,14 Defries Ave,Zetland,3,2,1
118,Listing,"{'streetAddress': '3 Finch Drive', 'postcode': '2036', 'suburb': 'Eastgardens', '__typename': 'ListingAddress'}",rent,Available Now,$820 per week 2 WEEK FREE RENT,"{'bedrooms': 3, 'bathrooms': 2, 'parkingSpaces': 2, '__typename': 'ListingFeatures'}",427949498,"{'uri': '/5be5636641465942846045e2be5f1eec285995848a6835b1149f8477ba15f53f/main.jpg', 'server': 'https://i3.au.reastatic.net', '__typename': 'ListingMainImage'}",https://www.realestate.com.au/property-unit-nsw-eastgardens-427949498,820,2036,3 Finch Drive,Eastgardens,3,2,2
73,Listing,"{'streetAddress': '1 Studio Drive', 'postcode': '2036', 'suburb': 'Eastgardens', '__typename': 'ListingAddress'}",rent,Available 31 Oct 2020,FROM $850 PER WEEK **2 WEEKS FREE RENT ** ,"{'bedrooms': 3, 'bathrooms': 2, 'parkingSpaces': 2, '__typename': 'ListingFeatures'}",429555118,"{'uri': '/a3cdcd80c84c3fa386eaf12d4a4af6ef2837f5e9f51be1ab4c4f1a47a1a65ded/main.jpg', 'server': 'https://i3.au.reastatic.net', '__typename': 'ListingMainImage'}",https://www.realestate.com.au/property-unit-nsw-eastgardens-429555118,850,2036,1 Studio Drive,Eastgardens,3,2,2
108,Listing,"{'streetAddress': '8 Studio Drive', 'postcode': '2036', 'suburb': 'Eastgardens', '__typename': 'ListingAddress'}",rent,Available Now,3 BEDROOM PLUS STUDY FROM $850 ,"{'bedrooms': 3, 'bathrooms': 2, 'parkingSpaces': 2, '__typename': 'ListingFeatures'}",426432146,"{'uri': '/b5bce1d0f76016779c8e376ef90000e7d31c8a6680e3d03ffaf76413f5ae100c/main.jpg', 'server': 'https://i3.au.reastatic.net', '__typename': 'ListingMainImage'}",https://www.realestate.com.au/property-apartment-nsw-eastgardens-426432146,850,2036,8 Studio Drive,Eastgardens,3,2,2
51,Listing,"{'streetAddress': '506/6 Lachlan st', 'postcode': '2017', 'suburb': 'Waterloo', '__typename': 'ListingAddress'}",rent,Available Now,$875 per week,"{'bedrooms': 3, 'bathrooms': 2, 'parkingSpaces': 2, '__typename': 'ListingFeatures'}",429996674,"{'uri': '/5bb0f5b576d5d45285b1112cce557eb0277aa5fa1c2452c347111501ba7d8df2/main.jpg', 'server': 'https://i3.au.reastatic.net', '__typename': 'ListingMainImage'}",https://www.realestate.com.au/property-apartment-nsw-waterloo-429996674,875,2017,506/6 Lachlan st,Waterloo,3,2,2
16,Listing,"{'streetAddress': '414/42  Church ave', 'postcode': '2020', 'suburb': 'Mascot', '__typename': 'ListingAddress'}",rent,Available Now,$880 per week,"{'bedrooms': 3, 'bathrooms': 2, 'parkingSpaces': 2, '__typename': 'ListingFeatures'}",426705430,"{'uri': '/684da320c2e217ab895ea2ef75d9ee5a9fe57aaa46d06069e8387bfa591eda25/main.jpg', 'server': 'https://i3.au.reastatic.net', '__typename': 'ListingMainImage'}",https://www.realestate.com.au/property-unit-nsw-mascot-426705430,880,2020,414/42  Church ave,Mascot,3,2,2
116,Listing,"{'streetAddress': '424/44 Church Ave', 'postcode': '2020', 'suburb': 'Mascot', '__typename': 'ListingAddress'}",rent,Available 15 Oct 2020,$950 per week,"{'bedrooms': 3, 'bathrooms': 2, 'parkingSpaces': 2, '__typename': 'ListingFeatures'}",426680950,"{'uri': '/684da320c2e217ab895ea2ef75d9ee5a9fe57aaa46d06069e8387bfa591eda25/main.jpg', 'server': 'https://i3.au.reastatic.net', '__typename': 'ListingMainImage'}",https://www.realestate.com.au/property-unit-nsw-mascot-426680950,950,2020,424/44 Church Ave,Mascot,3,2,2
131,Listing,"{'streetAddress': '887 South Dowling St', 'postcode': '2017', 'suburb': 'Waterloo', '__typename': 'ListingAddress'}",rent,Available 22 Oct 2020,FROM $950 per week *2 WEEKS FREE* ,"{'bedrooms': 3, 'bathrooms': 2, 'parkingSpaces': 1, '__typename': 'ListingFeatures'}",416054797,"{'uri': '/66d11d1db56ef662ae0bcebbd1578500a9713c9422435462f15bc60df2a51be8/main.jpg', 'server': 'https://i3.au.reastatic.net', '__typename': 'ListingMainImage'}",https://www.realestate.com.au/property-apartment-nsw-waterloo-416054797,950,2017,887 South Dowling St,Waterloo,3,2,1
39,Listing,"{'streetAddress': '3 Naulty Place', 'postcode': '2017', 'suburb': 'Zetland', '__typename': 'ListingAddress'}",rent,Available 22 Oct 2020,FROM $970 ** 4 WEEKS RENT FREE**,"{'bedrooms': 3, 'bathrooms': 2, 'parkingSpaces': 2, '__typename': 'ListingFeatures'}",413488915,"{'uri': '/a9fa0ea1bed8cf189d05d4f245fda52a9ef07543d385ab8291805b7ce5c2905c/main.jpg', 'server': 'https://i3.au.reastatic.net', '__typename': 'ListingMainImage'}",https://www.realestate.com.au/property-apartment-nsw-zetland-413488915,970,2017,3 Naulty Place,Zetland,3,2,2
